Lemme,POS,frequence
monsieur,NOUN,209
entendre,VERB,207
choix,NOUN,207
variant,NOUN,206
bon,ADJ,206
matière,NOUN,206
moyen,NOUN,204
recevoir,VERB,203
Monsieur,NOUN,201
taux,NOUN,200
évoquer,VERB,199
réponse,NOUN,198
droit,NOUN,197
poursuivre,VERB,196
condition,NOUN,196
demander,VERB,196
vaccinal,ADJ,194
monde,NOUN,194
département,NOUN,192
politique,NOUN,192
énergie,NOUN,191
prévoir,VERB,190
effort,NOUN,189
exprimer,VERB,187
hôpital,NOUN,186
risque,NOUN,185
part,NOUN,184
constater,VERB,182
règle,NOUN,182
poser,VERB,182
Europe,PROPN,180
ordre,NOUN,180
cours,NOUN,179
contrôle,NOUN,178
dispositif,NOUN,176
attendre,VERB,175
quinquennat,NOUN,175
plan,NOUN,174
rappel,NOUN,172
grâce,NOUN,172
information,NOUN,172
justice,NOUN,171
milliard,NOUN,170
mener,VERB,168
urgence,NOUN,167
rapport,NOUN,167
arriver,VERB,166
mobiliser,VERB,164
augmentation,NOUN,164
majorité,NOUN,163
local,ADJ,162
aide,NOUN,161
incidence,NOUN,160
reste,VERB,158
test,NOUN,158
avancer,VERB,158
responsabilité,NOUN,157
commencer,VERB,157
madame,NOUN,154
adopter,VERB,154
protection,NOUN,153
économique,ADJ,152
vague,NOUN,152
établissement,NOUN,152
regarder,VERB,150
terme,NOUN,150
réunion,NOUN,150
rester,VERB,149
finance,NOUN,149
appeler,VERB,149
mobilisation,NOUN,148
prix,NOUN,148
compris,ADJ,146
raison,NOUN,146
région,NOUN,145
disposition,NOUN,145
annonce,NOUN,145
trouver,VERB,144
achat,NOUN,144
rentrée,NOUN,144
atteindre,VERB,143
secteur,NOUN,143
différent,ADJ,142
sûr,ADJ,141
adapter,VERB,141
débat,NOUN,141
formation,NOUN,141
clair,ADJ,140
ministère,NOUN,140
rendez-vous,NOUN,140
sens,NOUN,140
respecter,VERB,139
forme,NOUN,138
Union,PROPN,136
relatif,ADJ,136
hausse,NOUN,135
pouvoir,NOUN,135
intérieur,NOUN,134
lutte,NOUN,131
fonction,NOUN,131
partie,NOUN,131
parlement,NOUN,131
demande,NOUN,130
accompagner,VERB,130
activité,NOUN,128
collectivité,NOUN,128
élu,NOUN,128
seul,ADJ,127
frontière,NOUN,127
partir,VERB,127
date,NOUN,127
proposer,VERB,127
famille,NOUN,127
améliorer,VERB,126
économie,NOUN,126
jeune,NOUN,126
ouvrir,VERB,125
contamination,NOUN,124
décider,VERB,124
résultat,NOUN,124
mot,NOUN,124
grave,ADJ,123
enjeu,NOUN,122
bénéficier,VERB,122
préciser,VERB,121
créer,VERB,121
collègue,NOUN,121
capacité,NOUN,120
charge,NOUN,120
priorité,NOUN,120
budget,NOUN,120
femme,NOUN,119
autorité,NOUN,119
reprise,NOUN,119
centre,NOUN,118
réduire,VERB,118
système,NOUN,118
instant,NOUN,117
soignant,NOUN,117
aborder,VERB,117
suivre,VERB,116
restriction,NOUN,116
retraite,NOUN,116
proposition,NOUN,116
sembler,VERB,115
solidarité,NOUN,115
violence,NOUN,114
propos,NOUN,114
stratégie,NOUN,114
opposition,NOUN,114
acteur,NOUN,114
besoin,NOUN,114
effet,NOUN,113
période,NOUN,113
transition,NOUN,113
mise,NOUN,112
remercier,VERB,112
tel,ADJ,112
troisième,ADJ,112
investissement,NOUN,112
possibilité,NOUN,111
international,ADJ,111
côté,NOUN,110
contexte,NOUN,110
énergétique,ADJ,110
confiance,NOUN,109
écologique,ADJ,109
échange,NOUN,109
stade,NOUN,108
suite,NOUN,108
communication,NOUN,108
petit,ADJ,108
été,NOUN,108
éducation,NOUN,108
inflation,NOUN,108
viser,VERB,108
calendrier,NOUN,107
appliquer,VERB,107
concertation,NOUN,107
impôt,NOUN,106
scientifique,ADJ,106
indiquer,VERB,106
particulier,ADJ,106
membre,NOUN,105
avis,NOUN,105
comprendre,VERB,105
principe,NOUN,105
concitoyen,NOUN,104
étape,NOUN,104
société,NOUN,103
confirmer,VERB,101
général,ADJ,101
janvier,NOUN,100
élection,NOUN,100
masque,NOUN,100
difficile,ADJ,99
redire,VERB,99
jeune,ADJ,98
prise,NOUN,98
garantir,VERB,98
scolaire,ADJ,98
soir,NOUN,98
vigilance,NOUN,98
assemblée,NOUN,97
considérer,VERB,97
reprendre,VERB,97
lancer,VERB,97
laisser,VERB,96
nombreux,ADJ,96
chiffre,NOUN,96
association,NOUN,95
efficacité,NOUN,95
gaz,NOUN,95
presse,NOUN,95
lien,NOUN,95
maintenir,VERB,94
discussion,NOUN,94
dépense,NOUN,94
retrouver,VERB,94
assurer,VERB,93
Royaume,PROPN,93
Uni,PROPN,93
objet,NOUN,93
policier,NOUN,93
ligne,NOUN,92
déplacement,NOUN,92
difficulté,NOUN,92
apporter,VERB,92
élément,NOUN,92
disposer,VERB,91
vivre,VERB,91
envisager,VERB,91
accès,NOUN,91
amener,VERB,90
confinement,NOUN,90
changer,VERB,89
âgé,ADJ,89
réalité,NOUN,89
organisation,NOUN,89
baisse,NOUN,89
outil,NOUN,89
agence,NOUN,89
meilleur,ADJ,88
population,NOUN,88
éviter,VERB,88
parole,NOUN,88
retour,NOUN,88
soutien,NOUN,88
solution,NOUN,88
commission,NOUN,88
fermer,VERB,87
décembre,NOUN,87
Attal,PROPN,87
expliquer,VERB,87
lier,VERB,87
accélérer,VERB,87
soutenir,VERB,87
public,NOUN,87
déployer,VERB,87
conférence,NOUN,87
Paris,PROPN,86
maire,NOUN,86
lutter,VERB,85
position,NOUN,85
baisser,VERB,84
circulation,NOUN,84
efficace,ADJ,84
relance,NOUN,84
affaire,NOUN,84
injection,NOUN,84
oui,NOUN,84
groupe,NOUN,84
professionnel,NOUN,84
volonté,NOUN,83
défense,NOUN,82
bonjour,NOUN,82
police,NOUN,82
réanimation,NOUN,81
obligation,NOUN,81
vacance,NOUN,81
exister,VERB,81
titre,NOUN,81
patient,NOUN,80
épidémique,ADJ,80
juillet,NOUN,80
ville,NOUN,80
protocole,NOUN,79
partenaire,NOUN,79
recours,NOUN,79
délai,NOUN,79
impact,NOUN,78
communiquer,VERB,78
étude,NOUN,78
train,NOUN,78
journée,NOUN,77
fixer,VERB,77
conséquence,NOUN,77
classe,NOUN,77
assurance,NOUN,77
mission,NOUN,77
culture,NOUN,76
évolution,NOUN,76
citer,VERB,75
élevé,ADJ,75
couvre-feu,NOUN,75
porte,VERB,75
accompagnement,NOUN,75
maladie,NOUN,74
sorte,NOUN,74
gens,NOUN,74
Véran,PROPN,74
massif,ADJ,74
développer,VERB,74
juin,NOUN,74
accueillir,VERB,73
respect,NOUN,73
fragile,ADJ,73
application,NOUN,72
compter,VERB,72
idée,NOUN,72
parlementaire,NOUN,72
observer,VERB,72
financier,ADJ,72
financer,VERB,72
climatique,ADJ,72
réaliser,VERB,72
montrer,VERB,72
long,ADJ,72
limiter,VERB,71
collectif,ADJ,71
conduire,VERB,71
intervention,NOUN,71
enseignant,NOUN,71
sortir,VERB,71
utiliser,VERB,70
Olivier,PROPN,70
étudiant,NOUN,70
intervenir,VERB,70
vigueur,NOUN,69
décret,NOUN,69
garde,NOUN,69
coup,NOUN,69
liste,NOUN,69
partager,VERB,69
création,NOUN,69
remettre,VERB,69
quotidien,NOUN,69
doute,NOUN,69
terrain,NOUN,69
préfet,NOUN,69
constat,NOUN,68
procédure,NOUN,68
supérieur,ADJ,68
compatriote,NOUN,68
majeur,ADJ,68
élève,NOUN,68
handicap,NOUN,68
-g.,NOUN,68
Covid,PROPN,67
insister,VERB,67
voie,NOUN,67
geste,NOUN,67
homme,NOUN,67
barrière,ADJ,67
production,NOUN,67
électricité,NOUN,67
moyenne,NOUN,67
quel,ADJ,67
croissance,NOUN,66
préparer,VERB,66
organiser,VERB,66
prolonger,VERB,66
second,ADJ,66
gestion,NOUN,66
républicain,ADJ,66
identifier,VERB,66
cause,NOUN,65
tension,NOUN,65
toucher,VERB,65
sortie,NOUN,65
acte,NOUN,65
message,NOUN,65
appel,NOUN,65
redi,NOUN,65
précision,NOUN,65
Santé,PROPN,65
saluer,VERB,65
durée,NOUN,65
imposer,VERB,64
voisin,NOUN,64
Moi,PROPN,64
preuve,NOUN,64
plein,ADJ,64
ambition,NOUN,64
rappelle,NOUN,64
façon,NOUN,64
circuler,VERB,64
produire,VERB,64
voilà,VERB,63
territorial,ADJ,63
valeur,NOUN,63
fête,NOUN,63
développement,NOUN,63
lever,VERB,63
armée,NOUN,63
arrivée,NOUN,62
réduction,NOUN,62
discuter,VERB,62
parlementaire,ADJ,62
traitement,NOUN,62
simple,ADJ,62
obligatoire,ADJ,62
exceptionnel,ADJ,61
empêcher,VERB,61
personnel,ADJ,61
table,NOUN,61
égalité,NOUN,61
enquête,NOUN,61
examiner,VERB,60
cap,NOUN,60
salaire,NOUN,60
mai,NOUN,60
covid,NOUN,60
normal,ADJ,60
octobre,NOUN,60
inscrire,VERB,60
transport,NOUN,60
avenir,NOUN,60
septembre,NOUN,60
renforcement,NOUN,60
consultation,NOUN,60
terrorisme,NOUN,60
bilan,NOUN,59
recherche,NOUN,59
problème,NOUN,59
présent,ADJ,59
donnée,NOUN,58
millier,NOUN,58
attention,NOUN,58
professionnel,ADJ,58
haut,ADJ,58
après-midi,NOUN,58
vendredi,NOUN,58
rouvrir,VERB,58
espérer,VERB,57
ajouter,VERB,57
intérêt,NOUN,57
bouclier,NOUN,57
logement,NOUN,57
sanction,NOUN,57
liberté,NOUN,57
connaissance,NOUN,57
rôle,NOUN,57
victime,NOUN,57
assumer,VERB,56
Delta,PROPN,56
autoriser,VERB,56
prioritaire,ADJ,56
confrère,NOUN,56
revalorisation,NOUN,56
domaine,NOUN,56
régime,NOUN,56
reste,NOUN,56
porte-parole,NOUN,56
recommandation,NOUN,56
end,NOUN,56
charger,VERB,55
main,NOUN,55
isolement,NOUN,55
haute,NOUN,55
compétence,NOUN,55
zone,NOUN,55
renvoyer,VERB,55
obtenir,VERB,55
week,NOUN,55
réouverture,NOUN,55
vue,NOUN,54
soin,NOUN,54
participer,VERB,54
responsable,NOUN,54
macron,NOUN,54
concret,ADJ,54
port,NOUN,54
interroger,VERB,54
saisir,VERB,54
oeuvre,NOUN,54
vote,NOUN,54
relever,VERB,53
faveur,NOUN,53
représenter,VERB,53
bâtiment,NOUN,53
quatrième,ADJ,53
chance,NOUN,53
défi,NOUN,52
hospitalisation,NOUN,52
signer,VERB,52
imaginer,VERB,52
tf1,NOUN,52
rassemblement,NOUN,52
chemin,NOUN,52
fonctionner,VERB,52
souveraineté,NOUN,52
présidentiel,ADJ,52
relation,NOUN,52
âge,NOUN,52
Gérald,PROPN,52
Italie,PROPN,52
positif,ADJ,51
arrêter,VERB,51
aider,VERB,51
essentiel,ADJ,51
salarié,NOUN,51
parent,NOUN,51
nécessité,NOUN,51
chantier,NOUN,51
vocation,NOUN,51
investir,VERB,51
sol,NOUN,51
Darmanin,PROPN,51
essayer,VERB,51
événement,NOUN,51
août,NOUN,51
échéance,NOUN,50
absolu,ADJ,50
œuvre,NOUN,50
rapide,ADJ,50
transformation,NOUN,50
sein,NOUN,50
ménage,NOUN,50
ouverture,NOUN,50
détail,NOUN,50
contrat,NOUN,50
réseau,NOUN,50
médecin,NOUN,50
dessus,NOUN,49
donne,VERB,49
Emmanuel,PROPN,49
quell,ADJ,49
numérique,ADJ,49
budgétaire,ADJ,49
bas,ADJ,49
marché,NOUN,49
ore,ADJ,49
métier,NOUN,49
type,NOUN,49
réunir,VERB,49
entrer,VERB,48
habitant,NOUN,48
nation,NOUN,48
étranger,ADJ,48
déploiement,NOUN,48
civil,ADJ,48
alimentaire,ADJ,48
avance,NOUN,48
mandat,NOUN,48
adresser,VERB,47
tête,NOUN,47
précédent,ADJ,47
examen,NOUN,47
devenir,VERB,47
méthode,NOUN,47
consacrer,VERB,47
financement,NOUN,47
apprentissage,NOUN,47
menace,NOUN,47
mars,NOUN,47
programme,NOUN,47
plateforme,NOUN,47
fait,ADJ,47
voter,VERB,46
fond,NOUN,46
revenu,NOUN,46
diminuer,VERB,46
capable,ADJ,46
renouvelable,ADJ,46
ratifier,VERB,45
couvertur,ADJ,45
vrai,ADJ,45
lundi,NOUN,45
celui,VERB,45
précis,ADJ,45
faciliter,VERB,45
mondial,ADJ,45
fermeture,NOUN,45
prime,NOUN,45
combat,NOUN,45
Borne,PROPN,45
dossier,NOUN,45
amélioration,NOUN,45
progressif,ADJ,45
laboratoire,NOUN,45
terminer,VERB,44
direction,NOUN,44
présence,NOUN,44
Allemagne,PROPN,44
tirer,VERB,44
fonctionnement,NOUN,44
mécanisme,NOUN,44
commentaire,NOUN,44
climat,NOUN,44
compte-rendu,NOUN,44
issue,NOUN,44
échanger,VERB,44
AstraZeneca,PROPN,44
bout,NOUN,43
actuel,ADJ,43
esprit,NOUN,43
accorder,VERB,43
favoriser,VERB,43
favorable,ADJ,43
démocratique,ADJ,43
industriel,ADJ,43
payer,VERB,43
coûter,VERB,43
spécifique,ADJ,43
rénovation,NOUN,43
peine,NOUN,43
rentrer,VERB,43
opération,NOUN,43
commerce,NOUN,43
pression,NOUN,43
ouvert,ADJ,43
transparence,NOUN,43
chef,NOUN,43
insertion,NOUN,43
culturel,ADJ,43
rencontrer,VERB,43
pacte,NOUN,43
étendre,VERB,42
taxe,NOUN,42
alerte,NOUN,42
établir,VERB,42
candidat,NOUN,42
réflexion,NOUN,42
entrée,NOUN,42
dialogue,NOUN,42
réaction,NOUN,42
coeur,NOUN,42
allocation,NOUN,42
entier,ADJ,42
enseignement,NOUN,42
phase,NOUN,42
renseignement,NOUN,42
gendarme,NOUN,42
sport,NOUN,42
avancée,NOUN,41
accessible,ADJ,41
hommage,NOUN,41
LCI,PROPN,41
prêt,ADJ,41
professeur,NOUN,41
adaptation,NOUN,41
carrière,NOUN,41
faible,ADJ,41
défendre,VERB,41
novembre,NOUN,41
site,NOUN,41
judiciaire,ADJ,41
technique,ADJ,41
consommation,NOUN,41
orientation,NOUN,41
progresser,VERB,41
traduire,VERB,41
article,NOUN,41
évoluer,VERB,41
code,NOUN,41
quartier,NOUN,41
chômage,NOUN,40
souligner,VERB,40
changement,NOUN,40
administratif,ADJ,40
progrès,NOUN,40
chercher,VERB,40
attente,NOUN,40
-vou,NOUN,40
accueil,NOUN,40
véhicule,NOUN,40
indépendant,ADJ,40
modalité,NOUN,40
chômage,PROPN,40
dizaine,NOUN,40
planification,NOUN,40
écologie,NOUN,40
reconstruction,NOUN,40
administration,NOUN,40
jeunesse,NOUN,40
Sénat,PROPN,40
présidence,NOUN,39
celle,NOUN,39
restaurant,NOUN,39
juridique,ADJ,39
personnel,NOUN,39
déclaration,NOUN,39
voix,NOUN,39
carburant,NOUN,39
nom,NOUN,39
médical,ADJ,39
court,ADJ,39
prévention,NOUN,39
accéder,VERB,39
perspective,NOUN,39
regard,NOUN,39
contaminer,VERB,38
peser,VERB,38
dette,NOUN,38
journaliste,NOUN,38
simplifier,VERB,38
freinage,NOUN,38
habitude,NOUN,38
base,NOUN,38
Russie,PROPN,38
Bruno,PROPN,38
négociation,NOUN,38
scénario,NOUN,38
garder,VERB,38
freiner,VERB,38
produit,NOUN,38
contrôler,VERB,38
piste,NOUN,38
fonds,NOUN,38
commune,NOUN,38
lumière,NOUN,38
immigration,NOUN,38
commercial,ADJ,38
plupart,NOUN,37
député,NOUN,37
rémunération,NOUN,37
smic,NOUN,37
cœur,NOUN,37
moyen,ADJ,37
prévoit,ADJ,37
pénal,ADJ,37
critère,NOUN,37
durable,ADJ,37
précédent,NOUN,37
prudence,NOUN,37
agriculture,NOUN,37
agriculteur,NOUN,37
recrutement,NOUN,37
contact,NOUN,37
définir,VERB,37
CNR,PROPN,37
condamner,VERB,37
endroit,NOUN,37
régional,ADJ,37
relayer,VERB,37
refuser,VERB,37
pratique,NOUN,36
sceau,NOUN,36
eau,NOUN,36
cohérence,NOUN,36
le,VERB,36
disponible,ADJ,36
logique,ADJ,36
demi,NOUN,36
global,ADJ,36
conclusion,NOUN,36
tiers,NOUN,36
départ,NOUN,36
utilisation,NOUN,36
apprendre,VERB,36
travers,NOUN,36
parvenir,VERB,36
importance,NOUN,36
horizon,NOUN,36
jauge,NOUN,36
reconnaître,VERB,36
humain,ADJ,36
propre,ADJ,36
qualité,NOUN,36
route,NOUN,36
levier,NOUN,36
expression,NOUN,36
initiative,NOUN,36
dimanche,NOUN,36
Nouvelle,PROPN,36
drame,NOUN,36
gouvernemental,ADJ,35
complet,ADJ,35
coût,NOUN,35
déficit,NOUN,35
rebondir,VERB,35
citoyen,NOUN,35
AFP,PROPN,35
utile,ADJ,35
scientifique,NOUN,35
anticiper,VERB,35
tour,NOUN,35
valoir,VERB,35
attractivité,NOUN,35
domicile,NOUN,35
retenir,VERB,35
garantie,NOUN,35
inquiétude,NOUN,35
visibilité,NOUN,35
avril,NOUN,35
centaine,NOUN,35
maximum,NOUN,35
droite,NOUN,35
signe,NOUN,35
image,NOUN,35
convention,NOUN,35
média,NOUN,35
marquer,VERB,34
samedi,NOUN,34
hospitalier,ADJ,34
disai,ADJ,34
moitié,NOUN,34
amende,NOUN,34
échelle,NOUN,34
déplacer,VERB,34
agent,NOUN,34
travailleur,NOUN,34
hauteur,NOUN,34
indépendance,NOUN,34
dérouler,VERB,34
démarrer,VERB,34
souhait,NOUN,34
lieux,ADJ,34
document,NOUN,34
demande,VERB,34
asile,NOUN,34
émeute,NOUN,34
dépasser,VERB,33
record,NOUN,33
tester,VERB,33
inaudible,ADJ,33
effectuer,VERB,33
discours,NOUN,33
allocution,NOUN,33
inciter,VERB,33
exclure,VERB,33
motif,NOUN,33
Info,PROPN,33
approche,NOUN,33
supprimer,VERB,33
etat,NOUN,33
cher,ADJ,33
pêche,NOUN,33
volet,NOUN,33
fondamental,ADJ,33
émission,NOUN,33
législatif,ADJ,33
génération,NOUN,33
filière,NOUN,33
coordination,NOUN,33
rencontre,NOUN,33
actualité,NOUN,33
présentation,NOUN,33
institution,NOUN,33
autorisation,NOUN,33
souvenir,VERB,33
doubler,VERB,33
manifestation,NOUN,33
syndicat,NOUN,33
passage,NOUN,32
partiel,ADJ,32
total,ADJ,32
cnew,NOUN,32
invite,VERB,32
accélération,NOUN,32
préoccupation,NOUN,32
inédit,ADJ,32
guerre,NOUN,32
construire,VERB,32
commettre,VERB,32
Elisabeth,PROPN,32
envoyer,VERB,32
dynamique,NOUN,32
exercice,NOUN,32
contraire,NOUN,32
exposer,VERB,32
négatif,ADJ,32
histoire,NOUN,32
honneur,NOUN,32
intérieur,ADJ,32
britannique,ADJ,32
reculer,VERB,32
rejoindre,VERB,32
construction,NOUN,32
-Bonjour,PROPN,32
un,NOUN,31
Omicron,PROPN,31
dégrader,VERB,31
constituer,VERB,31
démarche,NOUN,31
marie,NOUN,31
perdre,VERB,31
justifier,VERB,31
Jean-Michel,PROPN,31
proche,NOUN,31
mal,NOUN,31
priver,ADJ,31
argent,NOUN,31
branche,NOUN,31
perte,NOUN,31
Bloomberg,PROPN,31
dédier,VERB,31
réformer,VERB,31
cour,NOUN,31
équipe,NOUN,31
conviction,NOUN,31
trafic,NOUN,31
profiter,VERB,30
hospitalier,NOUN,30
salarier,ADJ,30
Blanquer,PROPN,30
contrainte,NOUN,30
pic,NOUN,30
large,ADJ,30
laisse,VERB,30
chèque,NOUN,30
contenu,NOUN,30
cinquième,ADJ,30
principal,ADJ,30
total,NOUN,30
offrir,VERB,30
polémique,NOUN,30
exiger,VERB,30
placer,VERB,30
nucléaire,NOUN,30
modèle,NOUN,30
italien,ADJ,30
commenter,VERB,30
historique,ADJ,30
ehpad,NOUN,30
jeudi,NOUN,30
revanche,NOUN,30
promesse,NOUN,29
corps,NOUN,29
alléger,VERB,29
cinéma,NOUN,29
Voilà,PROPN,29
Chantrait,PROPN,29
présent,NOUN,29
origine,NOUN,29
indemnité,NOUN,29
compléter,VERB,29
électrique,ADJ,29
revaloriser,VERB,29
poste,NOUN,29
renouveler,VERB,29
éventuel,ADJ,29
autonomie,NOUN,29
prononcer,VERB,29
amendement,NOUN,29
rythme,NOUN,29
traverser,VERB,29
innovation,NOUN,29
Inter,PROPN,29
minute,NOUN,29
seuil,NOUN,29
proximité,NOUN,29
cibler,VERB,29
indispensable,ADJ,29
parc,NOUN,29
employeur,NOUN,29
suivi,NOUN,29
succès,NOUN,28
nature,NOUN,28
Guyane,PROPN,28
nuit,NOUN,28
conclure,VERB,28
directive,NOUN,28
signifier,VERB,28
liminaire,ADJ,28
Oui,PROPN,28
Grande-Bretagne,PROPN,28
élargir,VERB,28
estimer,VERB,28
poursuite,NOUN,28
montre,VERB,28
proche,ADJ,28
hiver,NOUN,28
montant,NOUN,28
intégrer,VERB,28
compliquer,VERB,28
équilibre,NOUN,28
ambitieux,ADJ,28
pauvreté,NOUN,28
inégalité,NOUN,28
subir,VERB,28
mort,NOUN,28
déterminer,VERB,28
commun,ADJ,28
effectif,NOUN,28
détailler,VERB,28
TV,PROPN,28
profession,NOUN,28
citoyen,ADJ,28
communauté,NOUN,28
salle,NOUN,28
souche,NOUN,27
plateau,NOUN,27
haine,NOUN,27
Reuters,PROPN,27
central,ADJ,27
numérique,NOUN,27
conflit,NOUN,27
fonctionnaire,NOUN,27
expérience,NOUN,27
Nussbaum,PROPN,27
accepter,VERB,27
transmettre,VERB,27
adulte,NOUN,27
ressortissant,NOUN,27
refondation,NOUN,27
médicament,NOUN,27
aimer,VERB,27
installer,VERB,27
BFM,PROPN,27
harcèlement,NOUN,27
gros,ADJ,27
lundi,ADJ,27
rouge,ADJ,27
étranger,VERB,27
constitutionnel,ADJ,27
procès,NOUN,27
Calédonie,PROPN,27
tendance,NOUN,26
tendre,VERB,26
pensée,NOUN,26
considérable,ADJ,26
remise,NOUN,26
participation,NOUN,26
interview,NOUN,26
éligible,ADJ,26
livraison,NOUN,26
télétravail,NOUN,26
gagner,VERB,26
diplomatique,ADJ,26
structurel,ADJ,26
pension,NOUN,26
sénat,NOUN,26
contribuer,VERB,26
tarifaire,ADJ,26
Ania,PROPN,26
transformer,VERB,26
évoquer,ADJ,26
discothèque,NOUN,26
vol,NOUN,26
espace,NOUN,26
magistrat,NOUN,26
général,NOUN,26
époque,NOUN,26
former,VERB,26
mercredi,NOUN,26
terroriste,ADJ,26
quarantaine,NOUN,26
feu,NOUN,26
bateau,NOUN,26
Mathieu,PROPN,26
Castex,PROPN,26
israël,NOUN,26
pleine,NOUN,25
préserver,VERB,25
outre-mer,VERB,25
déclarer,VERB,25
maximal,ADJ,25
hospitaliser,VERB,25
varier,VERB,25
multiplier,VERB,25
juste,ADJ,25
exigence,NOUN,25
peur,NOUN,25
pose,VERB,25
contagieux,ADJ,25
allemand,ADJ,25
permanent,ADJ,25
militaire,ADJ,25
détermination,NOUN,25
préférer,VERB,25
consister,VERB,25
maintien,NOUN,25
sportif,ADJ,25
détecter,VERB,25
BFMTV,PROPN,25
prison,NOUN,25
fermeté,NOUN,25
opérationnel,ADJ,25
représentant,NOUN,25
constitution,NOUN,25
île,NOUN,25
environnement,NOUN,25
préoccupant,ADJ,25
attentat,NOUN,25
juger,VERB,25
concret,NOUN,25
Élysée,PROPN,25
électoral,ADJ,25
meilleur,NOUN,24
planète,NOUN,24
commande,NOUN,24
réussir,VERB,24
mode,NOUN,24
incitation,NOUN,24
contraindre,ADJ,24
isoler,VERB,24
cohésion,NOUN,24
confronter,VERB,24
souvenez,NOUN,24
Noël,PROPN,24
mineur,NOUN,24
party,NOUN,24
cotisation,NOUN,24
européen,NOUN,24
foyer,NOUN,24
handicapé,ADJ,24
dessous,NOUN,24
recourir,VERB,24
net,ADJ,24
programmation,NOUN,24
différence,NOUN,24
télévision,NOUN,24
intention,NOUN,24
monter,VERB,24
arme,NOUN,24
divers,ADJ,24
licence,NOUN,24
réserve,NOUN,24
bord,NOUN,24
gauche,NOUN,24
anticipation,NOUN,24
structure,NOUN,24
collège,NOUN,24
franchir,VERB,24
feuille,NOUN,24
continuité,NOUN,24
immédiat,ADJ,24
ferme,ADJ,24
recommander,VERB,24
diminution,NOUN,24
processus,NOUN,24
stabilité,NOUN,24
mi-mai,NOUN,24
gérer,VERB,23
carte,NOUN,23
théâtre,NOUN,23
sauver,VERB,23
Brexit,PROPN,23
industrie,NOUN,23
suspendre,VERB,23
champ,NOUN,23
chaîne,NOUN,23
olivier,NOUN,23
œuvre,VERB,23
parcours,NOUN,23
limité,ADJ,23
vis,NOUN,23
extérieur,ADJ,23
Institut,PROPN,23
retirer,VERB,23
Simon,PROPN,23
mémoire,NOUN,23
expert,NOUN,23
marge,NOUN,23
importer,VERB,23
thermique,ADJ,23
secrétaire,NOUN,23
mardi,NOUN,23
avocat,NOUN,23
précédente,NOUN,23
Alpes,PROPN,23
offre,NOUN,23
interpeller,VERB,23
mesurer,VERB,23
direct,ADJ,23
réchauffement,NOUN,23
